pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_mean_prob_filter0	0.6000292235903982	0.7746155327582828	2.9238512084472506e-37	0.5675097656405783	0.7533324403213885	3.156492271520419e-34	0.6050511118173973	0.7778503145319139	9.458073768058424e-38	0.42001572484553373	0.6480862017089499	1.2094102519433375e-65
sum_mean_prob_prefix0	7.805723802209277e-05	0.00883500073696051	0.9062970672262415	0.0015025498198549792	0.03876273751755646	0.6054159850001164	0.00016780395739410186	0.01295391668161031	0.8629725444998725	0.04877398857208773	0.220848338395578	2.168189390764877e-07
sum_mean_pplx_none	0.12600496358602978	-0.35497177857687473	1.0112164409178556e-06	0.11913971694256817	-0.34516621639808287	2.082113181038318e-06	0.12848310277047154	-0.35844539719526536	7.783562190606935e-07	0.0031845105752893264	-0.05643146795263549	0.19041460465329288
sum_mean_count_none	0.00017003816811050792	-0.013039868408481273	0.8620723457614079	0.0020448896956430113	-0.045220456605866016	0.5466564717356227	0.000481954038093683	-0.021953451621412132	0.7698892508373375	0.036251797631619356	0.19039904839998376	8.387802002046674e-06
sum_mean_count_filter0	0.016879878000157583	-0.12992258464238457	0.08215334155985413	0.01656494121159359	-0.12870486087010696	0.08508837562728301	0.01453168799930621	-0.12054745123521364	0.10697714410362649	0.012363699539974933	0.11119217391514087	0.009712280365011337
sum_mean_count_prefix0	0.07536516592141175	0.27452716791132303	0.0001919213049888739	0.036573333360810784	0.19124155761970457	0.010120628838144035	0.03839842834528683	0.1959551692231844	0.008381369100704564	0.1267249037588328	0.35598441505048056	1.4098702261434586e-17
sum_mean_normcount_none	1.3970579855798765e-13	3.737723887046603e-07	0.9999960273021334	3.458268705377779e-12	1.859642090666314e-06	0.9999802314761025	6.3003332707503e-12	2.5100464678468206e-06	0.999973317634862	0.04265306996285513	0.20652619679560055	1.2958219673226168e-06
sum_mean_normcount_filter0	0.014405413324392838	-0.12002255339890432	0.10852461272189813	0.008634390138603955	-0.09292141915943791	0.21472673874066348	0.011460698746659915	-0.10705465308271245	0.15260320479374503	0.01659593733561758	0.12882522010700226	0.002706923627464474
sum_mean_normcount_prefix0	0.08353298399520813	0.28902073281203916	8.322589751601896e-05	0.05693365425811416	0.23860774140441077	0.0012567500247362392	0.05001723258075998	0.22364532765242376	0.002545043601274659	0.1350097437128183	0.3674367206919013	1.0523804382055618e-18
sum_median_prob_none	0.5309166084593847	0.72864024625283	4.495266565007735e-31	0.21226300131963347	0.46072008998917496	7.622112113903804e-11	0.5576093186953451	0.7467324277780798	2.386671367221975e-33	0.4082729051565029	0.6389623659938846	2.6939250351490935e-63
