pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_mean_prob_filter0	0.5085781073745744	0.713146624036442	2.8846327877740847e-29	0.4727240847352518	0.687549332582944	1.575945405458165e-26	0.5324700982508451	0.729705487337765	3.3412950026674284e-31	0.3020073233503918	0.5495519296212068	6.171375501822717e-44
sum_mean_prob_prefix0	1.9876499329422303e-05	0.004458306778298495	0.9526350704548996	0.0013785656984591796	0.03712904117344238	0.6207140250404355	0.00044802336322821517	0.02116656238571146	0.7779186450444665	0.03608514868869692	0.18996091358144424	8.80571128230706e-06
sum_mean_pplx_none	0.1347655260857832	-0.36710424416748877	3.998738721025724e-07	0.1271255935483936	-0.3565467620781229	8.984078874666072e-07	0.13712123699277562	-0.3702988482196179	3.1120417276495056e-07	0.006612896793333542	-0.08131971958469571	0.058965684436078414
sum_mean_count_none	0.00017433305119133287	-0.013203524195885464	0.8603588205393402	0.0017313069651940345	-0.04160897697846024	0.5791722979104474	0.0002984931742800664	-0.017276955006020778	0.817938688516982	0.02618229726323813	0.16180944738561506	0.00015916761781431847
sum_mean_count_filter0	0.017041594929787084	-0.1305434599272866	0.08068851306014169	0.015934535470396173	-0.12623206989666363	0.09130696307190246	0.013885204547500297	-0.11783549782429867	0.11516212354214594	0.00756840652226654	0.08699658914156658	0.04330399971818205
sum_mean_count_prefix0	0.0733382071181238	0.27081027882656855	0.00023605070847631913	0.04038736442809731	0.20096607780443274	0.00682810039086524	0.043480616873424735	0.20852006347933222	0.004968856643766385	0.0997275786977328	0.31579673636333355	5.708877641468618e-14
sum_mean_normcount_none	1.7073051172405055e-14	1.306638862593833e-07	0.9999986100295195	1.2246571630849416e-12	1.1066422922900343e-06	0.9999882360638443	2.8499746204457544e-12	1.688186784821441e-06	0.999982054393074	0.03148544787128304	0.1774413927788075	3.372117170645414e-05
sum_mean_normcount_filter0	0.01448263271346227	-0.1203438104493217	0.10757543323617894	0.008738155742368131	-0.09347810301010677	0.21198054737467054	0.011829495390514087	-0.10876348371817669	0.146122618760528	0.010885712298420822	0.10433461697069109	0.015286385063692039
sum_mean_normcount_prefix0	0.08106961733901152	0.2847272683446591	0.00010710861674576174	0.06004670440552878	0.24504429070176023	0.0009151060566971336	0.05344083433601736	0.23117273700853516	0.0017944138281151582	0.10652222536816469	0.32637742778593726	7.20532972039704e-15
sum_median_prob_none	0.43442074765068867	0.6591060215554768	8.43328154011375e-24	0.17209147049691526	0.4148390898853618	7.042785727979174e-09	0.4835695301122051	0.6953916379366415	2.451353730009432e-27	0.2911663967546697	0.539598366152706	3.9696859990532976e-42
sum_median_prob_filter0	0.4896803144179718	0.699771615899053	8.445996683066745e-28	0.371927554316077	0.609858634698302	1.0227600439713849e-19	0.48229268459540475	0.694472954545679	3.0578399997896917e-27	0.2785009473248511	0.5277318896227999	4.756586507000463e-40
sum_median_prob_prefix0	1.4522515873824396e-05	-0.0038108418851776566	0.9595073634337351	0.0004341421546697525	0.020836078197917968	0.7812979744525399	8.478817100339309e-05	0.009208049250704141	0.9023598046770669	0.03462107309248841	0.18606738857867708	1.3499003034583263e-05
sum_median_pplx_none	0.15500384598568925	-0.39370527807700173	4.5575386179277945e-08	0.14243755519318413	-0.3774090025333049	1.7639005716227981e-07	0.1418830598351881	-0.3766736781820414	1.8717507901064342e-07	0.011556393971100674	-0.10750066963094078	0.012435182011151659
sum_median_pplx_filter0	0.09123974331416454	-0.30205917187558556	3.7724408922075604e-05	0.10034762057596627	-0.3167769255737644	1.4742200206208254e-05	0.08490847462971217	-0.29139058775072363	7.228117941430451e-05	3.0917776323482606e-05	-0.005560375555974849	0.8974264674634683
sum_median_count_none	8.487952098658574e-05	-0.009213008248481369	0.9023074817892663	0.0007101450872026969	-0.026648547562722755	0.7225146316724874	0.00020178377147827764	-0.014205061473935184	0.8498869120317135	0.02739667635676881	0.1655194138364706	0.00011150173718862967
sum_median_count_filter0	0.016840627889235314	-0.1297714448144711	0.08251314207636051	0.013524734853033326	-0.11629589353469591	0.12002155400726043	0.014914710276934114	-0.122125796934694	0.10242824924780237	0.007971033738752378	0.08928064593601671	0.03807648715342468
sum_median_count_prefix0	0.0466475959531378	0.21598054531169653	0.0035918643693923693	0.026954405850747223	0.16417797005307144	0.02764420190411579	0.02362187682691937	0.1536941014708091	0.039406903995040425	0.0830180698502693	0.28812856479403304	8.776859214943094e-12
sum_median_normcount_none	1.7073051172405055e-14	1.306638862593833e-07	0.9999986100295195	1.2246571630849416e-12	1.1066422922900343e-06	0.9999882360638443	2.8499746204457544e-12	1.688186784821441e-06	0.999982054393074	0.03148544787128304	0.1774413927788075	3.372117170645414e-05
sum_median_normcount_filter0	0.014388271462065581	-0.11995112113717646	0.10873655527521374	0.008809464758987914	-0.09385874897412555	0.21011731686916543	0.012040736175186683	-0.10973028832180604	0.14254979109692442	0.010881509265358502	0.10431447294291671	0.015306226741515832
sum_median_normcount_prefix0	0.05627172547083318	0.2372166214050634	0.0013444730745458822	0.05413423214456698	0.23266764309754587	0.0016718828110549521	0.037574360772090615	0.1938410709114315	0.009125661132872461	0.09239713285557288	0.30396896692848907	5.2472690077734e-13
sum_geomean_prob_none	0.44335945249365677	0.6658524254620214	2.022665103665219e-24	0.310022287463534	0.5567964506563723	4.803184302423454e-16	0.5508335032666282	0.7421815837560429	9.28792288350244e-33	0.2709065771688418	0.5204868655104006	8.062590831733807e-39
