pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_max_prob_filter0	0.5812084970313082	0.7623703148938239	1.7784519336426252e-35	0.6000546539582556	0.7746319474164848	2.9072918119272605e-37	0.6106514392724349	0.7814418975665657	2.641382653920278e-38	0.4453631010873836	0.667355303483372	7.068874431424112e-71
sum_max_prob_prefix0	0.00026986594189223526	0.016427596960366275	0.8267445798785262	0.0008654367074652095	0.029418305652522028	0.6950410930356491	0.0017054522003236683	0.041297120968944896	0.5820217775525902	0.07550932751634497	0.2747896059103127	8.237281625375886e-11
sum_max_pplx_none	0.11978201536318966	-0.34609538477591645	1.946407901329629e-06	0.10494387218320753	-0.32395041624175686	9.156363214074465e-06	0.13046844532730206	-0.3612041601744117	6.308717473839907e-07	4.5802410837387635e-05	0.00676774784085427	0.8753192386559777
sum_max_count_none	0.0009208148531171904	-0.030344931259061875	0.6859356382450781	0.007696772700934462	-0.08773125270355178	0.2415595130985595	0.0012787585274059298	-0.03575973332403263	0.6336631995440551	0.047427302204715895	0.21777810313416704	3.214059665463171e-07
sum_max_count_filter0	0.009729174106427532	-0.09863657590583491	0.18772337586246343	0.01778452597990105	-0.13335863669032108	0.0743084757646422	0.009826791080692591	-0.09913017240322237	0.1855134281522936	0.029347462749282738	0.17131101175722108	6.299538059950802e-05
sum_max_count_prefix0	0.10535625351525173	0.3245862805407088	8.7726952894549e-06	0.0364147974688366	0.1908266162484589	0.010288014555775066	0.06073365159900656	0.24644198424579883	0.0008532441120061428	0.18182467933970928	0.4264090516624961	2.875072971340136e-25
sum_max_normcount_none	5.079228997863598e-06	-0.002253714488985594	0.976046206772119	1.1432157925597125e-05	-0.0033811474273679823	0.9640698863764736	2.2582248086892624e-05	-0.004752078291326083	0.94951805481435	0.0645752693524329	0.2541166451699552	2.097660644193092e-09
sum_max_normcount_filter0	0.005759750280921425	-0.07589301865732727	0.3112611736701768	0.0035120092012434646	-0.0592622071917969	0.42938665937610687	0.005024801445934934	-0.0708858338875613	0.3443537633355064	0.04310237884827356	0.20761112409568414	1.1365612040280227e-06
sum_max_normcount_prefix0	0.10638005673681328	0.32615955717533907	7.887820206750137e-06	0.05415061246631936	0.23270284155187998	0.0016690920058356744	0.061971943115243525	0.24894164600412588	0.000752105926159292	0.18539949618761484	0.4305804177939527	8.768906304375685e-26
sum_min_prob_none	0.2788626060988828	0.5280744323472618	2.576298800911531e-14	0.3369400902935954	0.580465408352294	1.336331083691002e-17	0.3737031042396213	0.6113126076236456	7.931315006940381e-20	0.21802413066744067	0.4669305415877619	1.3591520559672763e-30
sum_min_prob_filter0	0.27572950729264833	0.5250995213220522	3.8099991291577807e-14	0.28111476797309687	0.5302025725824959	1.942728045482384e-14	0.3414600147928165	0.5843458006975121	7.223128502724735e-18	0.21515294550689945	0.46384582083586723	3.66658073370213e-30
