pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_mean_count_none	0.0007414428014382066	-0.027229447321570937	0.7167217429927011	0.004200614710298746	-0.06481214940347794	0.3873695075136111	0.0016967898233284907	-0.0411921087506878	0.5829827509322234	0.027438621862564377	0.1656460740934248	0.00011014015619893937
sum_mean_count_filter0	0.021053220780667247	-0.14509728040410422	0.05196550697769209	0.02222245210675033	-0.14907196955413962	0.045797951715533906	0.020036686761546813	-0.14155100409939456	0.058035390770843694	0.007877498894380877	0.08875527530451853	0.03922894669049886
sum_mean_count_prefix0	0.06778632505039334	0.2603580708378239	0.00041585961841540236	0.03135641048222199	0.17707741381164904	0.01740610243690179	0.03438691667175871	0.18543709626652027	0.012694696621190344	0.10499070259470397	0.3240226883949702	1.1502081736592486e-14
sum_mean_normcount_none	0.0001955881936076944	-0.013985284895478333	0.8521826784786084	0.0005018154013593464	-0.022401236603351755	0.7653309023400245	0.0005779024258053643	-0.024039601198966764	0.7487223907842282	0.03310335079077854	0.18194326255945434	2.102324712351874e-05
sum_mean_normcount_filter0	0.018206299388550607	-0.13493072069973763	0.07092746234241169	0.013399424805995193	-0.11575588454154369	0.12176319296203386	0.01757582101490329	-0.13257383231582048	0.07604454808811478	0.011419563890952795	0.10686235956103905	0.012968956533218319
sum_mean_normcount_prefix0	0.07541191054839366	0.27461229132796233	0.00019100718005018603	0.049366747980128405	0.2221862911615575	0.0027199282668525764	0.04329069349829634	0.20806415716863955	0.00506664086528628	0.11220695320064977	0.33497306339562555	1.2619691679227257e-15
sum_median_prob_none	0.46036648019989085	0.6785031173103708	1.2548386399372917e-25	0.1710845719846014	0.4136237081993746	7.86910782255532e-09	0.4643304708672394	0.6814179854298237	6.4832637088053e-26	0.3155776904952754	0.561763019871614	3.0708963952106347e-46
sum_median_prob_filter0	0.5201828423601252	0.7212370223166066	3.4008532568833855e-30	0.37771014379668233	0.6145812751757755	4.456603154472303e-20	0.46170482631237303	0.679488650613366	1.0045967384950534e-25	0.30793876430543854	0.5549223047467443	6.154641135160174e-45
sum_median_prob_prefix0	0.00023073256968364028	-0.015189883794277041	0.8396153037230121	4.0037410758944975e-07	-0.000632751220930825	0.9932738276247335	0.00018181511314642617	-0.013483883459390554	0.8574248936017502	0.03720405009421947	0.19288351431426032	6.353218892044111e-06
sum_median_pplx_none	0.16236816694217932	-0.4029493354532047	2.046129462087479e-08	0.154958522487596	-0.3936477136826734	4.579974122843324e-08	0.15884113946704442	-0.3985487918273551	3.0048525214122416e-08	0.01126493783318665	-0.10613641143917883	0.01360049268312191
sum_median_pplx_filter0	0.09722983822919387	-0.31181699477288577	2.0347362023891103e-05	0.11171226275484443	-0.33423384441861126	4.527997202224919e-06	0.09827622871856392	-0.3134903965332334	1.826294646964768e-05	1.7434723475873397e-06	-0.0013204061297901262	0.9755786715704636
sum_median_count_none	0.0005388318981113662	-0.023212752919707008	0.7570904531694969	0.002494598930254304	-0.04994596009943451	0.5055116287793926	0.0014545287828396781	-0.03813828500129074	0.611243639902868	0.02869276567267627	0.16938939067331304	7.629385905502485e-05
sum_median_count_filter0	0.02085625474252489	-0.1444169475599207	0.05308730308794808	0.019435263750543087	-0.1394104147850622	0.06197401957810412	0.02126905815983365	-0.14583915167002875	0.050764723191428766	0.008301483432102434	0.0911124768190528	0.03428015696111378
sum_median_count_prefix0	0.042201571702016605	0.2054302112689772	0.0056661003520309715	0.019663417132384745	0.14022630684855372	0.06044768401984155	0.017124737828842822	0.1308615215746891	0.07994629918070109	0.0876941479833889	0.2961319773063843	2.1609597636093675e-12
sum_median_normcount_none	0.0001955881936076944	-0.013985284895478333	0.8521826784786084	0.0005018154013593464	-0.022401236603351755	0.7653309023400245	0.0005779024258053643	-0.024039601198966764	0.7487223907842282	0.03310335079077854	0.18194326255945434	2.102324712351874e-05
sum_median_normcount_filter0	0.01810595806795298	-0.1345583816339695	0.07171671346333294	0.013454358205152695	-0.11599292308219797	0.12099629792435038	0.01784629568231171	-0.13359002837903625	0.0738027874405001	0.011412814031021476	0.10683077286541307	0.012995887386556356
sum_median_normcount_prefix0	0.051444860194089094	0.2268145943145835	0.002199791794446524	0.04399119087152697	0.20974077064683197	0.004715313528861741	0.029246734996720765	0.17101676817412018	0.021711214811802597	0.09758427291208117	0.3123848154313541	1.0937131183233319e-13
sum_geomean_prob_none	0.4711634894497308	0.6864134974268286	2.0534021728021715e-26	0.30213903771269035	0.5496717545159933	1.3367272490104941e-15	0.528663941473876	0.7270928011429325	6.89976146398891e-31	0.297478983996843	0.5454163400530305	3.5407657353955382e-43
sum_geomean_prob_filter0	0.5232675856400555	0.7233723699727931	1.910000538205019e-30	0.4389046136997351	0.6624987650552528	4.1320821282061664e-24	0.4365541181553512	0.660722421411103	6.0101716993133335e-24	0.3029339957911082	0.5503944002177967	4.310439658615388e-44
sum_geomean_prob_prefix0	0.011781092034132674	0.10854073905282142	0.14695532169517575	0.030471880242970387	0.17456196677103059	0.01909339605479728	0.004881898552458754	-0.06987058431456512	0.3513255688116802	0.06104369330533617	0.24707021938172996	5.93661132693586e-09
sum_geomean_pplx_none	0.15661782139458907	-0.3957496953815493	3.8258141263786e-08	0.15225769859353216	-0.39020212530627274	6.134485139166744e-08	0.15688449573612867	-0.39608647507347267	3.7166683364572926e-08	0.010223578698032058	-0.10111171395062027	0.01876307513618616
sum_geomean_count_none	0.0006429605719768037	-0.02535666720956845	0.7354538628019448	0.003132372656057251	-0.05596760362975398	0.4555235639882378	0.0015558328886583542	-0.039444047569416024	0.5990860242210878	0.028515131452626696	0.16886423970937925	8.03646595828003e-05
